Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
/get_method,500,1988,559,16382,"2028,11","0,000%","28,21193","4,66","4,16","169,0"
/user_info_2,500,1594,139,15427,"1917,15","0,000%","28,42847","12,88","6,89","464,0"
/user_info_3,500,1399,137,9837,"1567,61","0,000%","29,65951","10,75","7,18","371,0"
/object_info_1,500,1205,136,9836,"1330,06","0,000%","30,94442","6,95","4,96","230,0"
/object_info_2,500,1068,135,7200,"1211,51","0,000%","32,16261","14,54","5,18","463,0"
/object_info_3,500,936,135,7242,"1204,45","0,000%","33,15870","16,97","5,34","524,0"
/object_info_4,500,718,135,7178,"868,54","0,000%","33,94433","7,82","5,44","236,0"
TOTAL,3500,1273,135,16382,"1548,56","0,000%","182,18729","62,45","33,17","351,0"
