Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
/get_method,250,1500,596,16374,"1529,32","0,000%","14,03785","2,32","2,07","169,0"
/user_info_2,250,1722,181,15427,"1504,50","0,000%","14,21666","6,44","3,44","464,0"
/user_info_3,250,1772,138,15430,"2025,95","0,000%","14,95663","5,42","3,62","371,0"
/object_info_1,250,1635,136,7464,"1651,15","0,000%","15,43019","3,47","2,47","230,0"
/object_info_2,250,1295,138,7254,"1462,39","0,000%","16,23377","7,34","2,62","463,0"
/object_info_3,250,866,136,7199,"947,46","0,000%","16,63894","8,51","2,68","524,0"
/object_info_4,250,641,137,3352,"642,16","0,000%","17,06718","3,93","2,73","236,0"
TOTAL,1750,1347,136,16374,"1513,79","0,000%","90,72999","31,10","16,52","351,0"
