Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
/get_method,150,1809,625,5461,"1513,69","0,000%","22,34803","3,69","3,30","169,0"
/user_info_2,150,1419,392,3396,"691,03","0,000%","20,76699","9,41","5,03","464,0"
/user_info_3,150,1834,349,9790,"1874,33","0,000%","13,23568","4,80","3,21","371,0"
/object_info_1,150,1282,139,7237,"1332,78","0,000%","14,29661","3,21","2,29","230,0"
/object_info_2,150,1066,143,7153,"1224,61","0,000%","14,88982","6,73","2,40","463,0"
/object_info_3,150,940,136,5991,"1190,14","0,000%","15,70681","8,04","2,53","524,0"
/object_info_4,150,788,138,7177,"1132,11","0,000%","16,33809","3,77","2,62","236,0"
TOTAL,1050,1305,136,9790,"1376,44","0,000%","76,07593","26,08","13,85","351,0"
